"Equipment_ID","Facility_Code","Type","Library_ID","Model","Manufacturer","Serial_Number","Power_Source","RefrigerAnt","CFC_Free","Gross_Refr_Volume","Net_Refr_Volume","Gross_Freezer_Volume","Net_Freezer_Volume","Year","Condition","Status","No_Monitor","Dial_Thermometer","Stem_Thermometer","Fridge_Tag","No_Spare_Parts","No_Finance","No_Fuel","Need_to_Board_Off","Days_Above_8","Days_Below_2"
"R-000048","02-23","UREK","U001","DOMESTIC_KEROSENE","UNKNOWN  FRIMETEC RZ 250 KT",,"K","NH3","Yes",0,0,0,0,2008,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000881","04-69","UREK","U001","DOMESTIC_KEROSENE","UNKNOWN  FRIMETEC RZ 250 KT",,"K","NH3","Yes",0,0,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-000218","03-14","ILR","E357M","MK_144","Vestfrost",,"E","R134A","Yes",94,45,0,0,2005,"Working_well","In_use",,,,,,,,,,
"R-001146","05-108","ILR","E357M","MK_144","Vestfrost",,"E","R134A","Yes",94,45,0,0,2005,"Working_well","In_use",,,,,,,,,,
,"05-42","ILR","E357M","MK_144","Vestfrost",,"E","R134A","Yes",94,45,0,0,2006,"Working_well","In_use",,,,,,,,,,
"R-001309","06-58","ILR","E357M","MK_144","Vestfrost",,"E","R134A","Yes",94,45,0,0,2007,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000030","02-9","ILR","E362M","TCW_1990","DOMETIC",,"E","R134A","Yes",66,37.5,17,0,2001,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000069","02-32","ILR","E362M","TCW_1990","DOMETIC",,"E","R134A","Yes",66,37.5,17,0,2001,"Working_well","In_use",,,,,,,,,,
"R-000103","02-46","ILR","E362M","TCW_1990","DOMETIC",,"E","R134A","Yes",66,37.5,17,0,2001,"Working_well","In_use",,,,,,,,,,
"R-000127","02-59","ILR","E362M","TCW_1990","DOMETIC",,"E","R134A","Yes",66,37.5,17,0,2001,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000142","02-73","ILR","E362M","TCW_1990","DOMETIC",,"E","R134A","Yes",66,37.5,17,0,2001,"Working_well","In_use",,,,,,,,,,
