"Equipment_ID","Facility_Code","Type","Library_ID","Model","Manufacturer","Serial_Number","Power_Source","RefrigerAnt","CFC_Free","Gross_Refr_Volume","Net_Refr_Volume","Gross_Freezer_Volume","Net_Freezer_Volume","Year","Condition","Status","No_Monitor","Dial_Thermometer","Stem_Thermometer","Fridge_Tag","No_Spare_Parts","No_Finance","No_Fuel","Need_to_Board_Off","Days_Above_8","Days_Below_2"
"R-000062","02-29","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Working_well","In_use",,,,,,,,,,
"R-000170","02-83","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Working_well","In_use",,,,,,,,,,
"R-000198","03-3","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Not_working","Not_in_use",,,,,,,,,,
"R-001093","05-87","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2005,"Working_well","In_use",,,,,,,,,,
"R-000768","04-17","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Working_well","In_use",,,,,,,,,,
"R-000932","05-1","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Not_working","Not_in_use",,,,,,,,,,
"R-001060","05-65","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Working_well","In_use",,,,,,,,,,
"R-001080","05-79","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Working_well","In_use",,,,,,,,,,
"R-001110","05-96","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Working_well","In_use",,,,,,,,,,
"R-001277","06-44","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Not_working","Not_in_use",,,,,,,,,,
"R-001278","06-44","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Not_working","Not_in_use",,,,,,,,,,
"R-001330","06-71","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Working_well","In_use",,,,,,,,,,
"R-001362","06-85","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2004,"Working_well","In_use",,,,,,,,,,
"R-000155","02-76","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2004,"Working_well","In_use",,,,,,,,,,
"R-001243","06-20","CFEK","E395M","PF_230_IP_KE","ZERO",,"EK","NH3","Yes",0,0,230,144,2009,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000086","02-39","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-000154","02-76","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-000648","01-108","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2004,"Working_well","In_use",,,,,,,,,,
"R-000650","01-108","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2004,"Working_well","In_use",,,,,,,,,,
"R-000651","01-108","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2004,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-001022","05-42","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2004,"Working_well","In_use",,,,,,,,,,
"R-000043","02-19","ILR","E362M","TCW_1990","DOMETIC",,"E","R134A","Yes",66,37.5,17,0,2004,"Working_well","In_use",,,,,,,,,,
"R-000053","02-26","CFEK","E373M","FCW_20_EK","DOMETIC",,"EK","NH3","Yes",0,0,18,14,2005,"Working_well","In_use",,,,,,,,,,
"R-000660","01-110","CFEK","E373M","FCW_20_EK","DOMETIC",,"EK","NH3","Yes",0,0,18,14,2005,"Working_well","In_use",,,,,,,,,,
"R-000972","05-19","CFEK","E373M","FCW_20_EK","DOMETIC",,"EK","NH3","Yes",0,0,18,14,2005,"Not_working","Not_in_use",,,,,,,,,,
"R-001038","05-53","CFEK","E373M","FCW_20_EK","DOMETIC",,"EK","NH3","Yes",0,0,18,14,2005,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000230","03-20","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2005,"Working_well","In_use",,,,,,,,,,
"R-000232","03-22","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2005,"Working_well","In_use",,,,,,,,,,
"R-000957","05-12","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2005,"Working_well","In_use",,,,,,,,,,
"R-000969","05-19","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2005,"Not_working","Not_in_use",,,,,,,,,,
"R-001103","05-93","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2002,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-001037","05-53","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2005,"Working_well","In_use",,,,,,,,,,
"R-001234","06-14","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2005,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-001378","06-93","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2005,"Working_well","In_use",,,,,,,,,,
"R-001158","05-114","ILR","E324M","TCW_1152","DOMETIC",,"E","R134A","Yes",250,169,0,0,2005,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000970","05-19","ILR","E3107","TCW_3000","DOMETIC",,"E","R134A","Yes",278,126.5,0,0,2005,"Working_well","In_use",,,,,,,,,,
"R-000923","04-87","CFEK","E373M","FCW_20_EK","DOMETIC",,"EK","NH3","Yes",0,0,18,14,2006,"Not_working","Not_in_use",,,,,,,,,,
"R-001111","05-97","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2002,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-001091","05-86","UREK","E387M","V_110_EK","SIBIR",,"EK","NH3","Yes",110,17,15,0,2002,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000955","05-10","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2003,"Not_working","Not_in_use",,,,,,,,,,
"R-000936","05-2","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2003,"Working_well","In_use",,,,,,,,,,
"R-001109","05-96","UREK","E385M","V_170_EK","SIBIR",,"EK","NH3","Yes",170,55,47,36,2003,"Working_well","In_use",,,,,,,,,,
"R-000184","02-87","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-000193","03-1","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Not_working","Not_in_use",,,,,,,,,,
"R-000195","03-1","ILR","E003011","MK_204","Vestfrost",,"E","R134A","Yes",136,75,0,0,2009,"Working_well","In_use",,,,,,,,,,
"R-000032","02-10","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2006,"Working_well","In_use",,,,,,,,,,
"R-000034","02-13","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2006,"Working_well","In_use",,,,,,,,,,
"R-000339","03-93","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,2006,"Working_well","In_use",,,,,,,,,,
